ENSMUSG00000000001	ENSG00000065135
ENSMUSG00000025932	ENSG00000104313
ENSMUSG00000025933	ENSG00000096092
ENSMUSG00000025935	ENSG00000067167
ENSMUSG00000025937	ENSG00000147592
ENSMUSG00000025938	ENSG00000137571
ENSMUSG00000025939	ENSG00000258677
ENSMUSG00000025940	ENSG00000175606
ENSMUSG00000025945	ENSG00000118231
ENSMUSG00000025946	ENSG00000144407
ENSMUSG00000025949	ENSG00000115020
ENSMUSG00000025950	ENSG00000138413
ENSMUSG00000025952	ENSG00000163254
ENSMUSG00000025955	ENSG00000151632
ENSMUSG00000025955	ENSG00000187134
ENSMUSG00000025955	ENSG00000196139
ENSMUSG00000025955	ENSG00000198610
ENSMUSG00000025955	ENSG00000282883
ENSMUSG00000025956	ENSG00000144401
ENSMUSG00000025958	ENSG00000118260
ENSMUSG00000025959	ENSG00000118263
ENSMUSG00000025962	ENSG00000118246
ENSMUSG00000025963	ENSG00000138400
ENSMUSG00000025964	ENSG00000114948
ENSMUSG00000025967	ENSG00000114942
ENSMUSG00000025968	ENSG00000023228
ENSMUSG00000025969	ENSG00000118257
ENSMUSG00000025971	ENSG00000162972
ENSMUSG00000025977	ENSG00000152430
ENSMUSG00000025978	ENSG00000162944
ENSMUSG00000025979	ENSG00000115540
ENSMUSG00000025981	ENSG00000115520
ENSMUSG00000025982	ENSG00000115524
ENSMUSG00000025983	ENSG00000144395
ENSMUSG00000025986	ENSG00000196950
ENSMUSG00000025991	ENSG00000021826
ENSMUSG00000025993	ENSG00000138449
ENSMUSG00000025995	ENSG00000115368
ENSMUSG00000025997	ENSG00000030419
ENSMUSG00000026000	ENSG00000115365
ENSMUSG00000026003	ENSG00000115361
ENSMUSG00000026004	ENSG00000144445
ENSMUSG00000026005	ENSG00000197713
ENSMUSG00000026005	ENSG00000235376
ENSMUSG00000026009	ENSG00000163600
ENSMUSG00000026011	ENSG00000163599
ENSMUSG00000026012	ENSG00000178562
ENSMUSG00000026014	ENSG00000173166
ENSMUSG00000026017	ENSG00000138380
ENSMUSG00000026018	ENSG00000163596
ENSMUSG00000026019	ENSG00000138442
ENSMUSG00000026020	ENSG00000055044
ENSMUSG00000026021	ENSG00000116030
ENSMUSG00000026023	ENSG00000138395
ENSMUSG00000026024	ENSG00000003393
ENSMUSG00000026027	ENSG00000082146
ENSMUSG00000026028	ENSG00000115993
ENSMUSG00000026029	ENSG00000064012
ENSMUSG00000026031	ENSG00000003402
ENSMUSG00000026032	ENSG00000119013
ENSMUSG00000026034	ENSG00000013441
ENSMUSG00000026035	ENSG00000240344
ENSMUSG00000026036	ENSG00000196290
ENSMUSG00000026037	ENSG00000115942
ENSMUSG00000026039	ENSG00000163535
ENSMUSG00000026042	ENSG00000204262
ENSMUSG00000026043	ENSG00000168542
ENSMUSG00000026047	ENSG00000134901
ENSMUSG00000026048	ENSG00000134899
ENSMUSG00000026048	ENSG00000270181
ENSMUSG00000026049	ENSG00000151287
ENSMUSG00000026051	ENSG00000119147
ENSMUSG00000026058	ENSG00000112232
ENSMUSG00000026062	ENSG00000115616
ENSMUSG00000026063	ENSG00000080572
ENSMUSG00000026064	ENSG00000112245
ENSMUSG00000026065	ENSG00000180251
ENSMUSG00000026068	ENSG00000115607
ENSMUSG00000026069	ENSG00000115602
ENSMUSG00000026070	ENSG00000115604
ENSMUSG00000026072	ENSG00000115594
ENSMUSG00000026073	ENSG00000115590
ENSMUSG00000026074	ENSG00000071054
ENSMUSG00000026077	ENSG00000170485
ENSMUSG00000026078	ENSG00000115539
ENSMUSG00000026080	ENSG00000115526
ENSMUSG00000026082	ENSG00000135945
ENSMUSG00000026083	ENSG00000158417
ENSMUSG00000026085	ENSG00000144214
ENSMUSG00000026087	ENSG00000185414
ENSMUSG00000026087	ENSG00000241962
ENSMUSG00000026087	ENSG00000273155
ENSMUSG00000026088	ENSG00000158411
ENSMUSG00000026090	ENSG00000196872
ENSMUSG00000026094	ENSG00000081320
ENSMUSG00000026095	ENSG00000138381
ENSMUSG00000026096	ENSG00000128694
ENSMUSG00000026097	ENSG00000128699
ENSMUSG00000026098	ENSG00000064933
ENSMUSG00000026100	ENSG00000138379
ENSMUSG00000026102	ENSG00000151689
ENSMUSG00000026103	ENSG00000115419
ENSMUSG00000026104	ENSG00000115415
ENSMUSG00000026107	ENSG00000173559
ENSMUSG00000026109	ENSG00000144339
ENSMUSG00000026110	ENSG00000071073
ENSMUSG00000026111	ENSG00000115446
ENSMUSG00000026112	ENSG00000183513
ENSMUSG00000026113	ENSG00000040933
ENSMUSG00000026114	ENSG00000144191
ENSMUSG00000026116	ENSG00000075568
ENSMUSG00000026117	ENSG00000115085
ENSMUSG00000026121	ENSG00000168758
ENSMUSG00000026123	ENSG00000115762
ENSMUSG00000026124	ENSG00000136698
ENSMUSG00000026124	ENSG00000152093
ENSMUSG00000026126	ENSG00000072135
ENSMUSG00000026127	ENSG00000136718
ENSMUSG00000026131	ENSG00000151914
ENSMUSG00000026134	ENSG00000146143
ENSMUSG00000026135	ENSG00000115568
ENSMUSG00000026141	ENSG00000082293
ENSMUSG00000026142	ENSG00000144468
ENSMUSG00000026147	ENSG00000112280
ENSMUSG00000026149	ENSG00000168955
ENSMUSG00000026150	ENSG00000168958
ENSMUSG00000026153	ENSG00000082269
ENSMUSG00000026154	ENSG00000154079
ENSMUSG00000026155	ENSG00000112305
ENSMUSG00000026156	ENSG00000112309
ENSMUSG00000026158	ENSG00000119900
ENSMUSG00000026159	ENSG00000173744
ENSMUSG00000026162	ENSG00000187736
ENSMUSG00000026163	ENSG00000153820
ENSMUSG00000026166	ENSG00000115009
ENSMUSG00000026167	ENSG00000135925
ENSMUSG00000026170	ENSG00000135929
ENSMUSG00000026171	ENSG00000163481
ENSMUSG00000026172	ENSG00000074582
ENSMUSG00000026173	ENSG00000115556
ENSMUSG00000026174	ENSG00000144580
ENSMUSG00000026175	ENSG00000127831
ENSMUSG00000026176	ENSG00000144579
ENSMUSG00000026177	ENSG00000018280
ENSMUSG00000026179	ENSG00000127838
ENSMUSG00000026180	ENSG00000163464
ENSMUSG00000026180	ENSG00000180871
ENSMUSG00000026181	ENSG00000100034
ENSMUSG00000026182	ENSG00000118245
ENSMUSG00000026185	ENSG00000115461
ENSMUSG00000026187	ENSG00000079246
ENSMUSG00000026188	ENSG00000163449
ENSMUSG00000026189	ENSG00000115425
ENSMUSG00000026192	ENSG00000138363
ENSMUSG00000026193	ENSG00000115414
ENSMUSG00000026196	ENSG00000138376
ENSMUSG00000026197	ENSG00000158552
ENSMUSG00000026198	ENSG00000115657
ENSMUSG00000026199	ENSG00000163516
ENSMUSG00000026200	ENSG00000163521
ENSMUSG00000026201	ENSG00000115661
ENSMUSG00000026202	ENSG00000127824
ENSMUSG00000026203	ENSG00000135924
ENSMUSG00000026204	ENSG00000054356
ENSMUSG00000026205	ENSG00000213901
ENSMUSG00000026207	ENSG00000072195
ENSMUSG00000026208	ENSG00000175084
ENSMUSG00000026209	ENSG00000123992
ENSMUSG00000026211	ENSG00000124006
ENSMUSG00000026213	ENSG00000144589
ENSMUSG00000026219	ENSG00000153827
ENSMUSG00000026220	ENSG00000163053
ENSMUSG00000026222	ENSG00000067066
ENSMUSG00000026223	ENSG00000135916
ENSMUSG00000026226	ENSG00000173699
ENSMUSG00000026227	ENSG00000204128
ENSMUSG00000026228	ENSG00000135914
ENSMUSG00000026229	ENSG00000173692
ENSMUSG00000026234	ENSG00000115053
ENSMUSG00000026235	ENSG00000116106
ENSMUSG00000026237	ENSG00000171596
ENSMUSG00000026238	ENSG00000187514
ENSMUSG00000026239	ENSG00000156973
ENSMUSG00000026240	ENSG00000144524
ENSMUSG00000026241	ENSG00000163273
ENSMUSG00000026245	ENSG00000116120
ENSMUSG00000026246	ENSG00000163283
ENSMUSG00000026246	ENSG00000163286
ENSMUSG00000026246	ENSG00000163295
ENSMUSG00000026247	ENSG00000171551
ENSMUSG00000026248	ENSG00000135900
ENSMUSG00000026249	ENSG00000135919
ENSMUSG00000026251	ENSG00000135902
ENSMUSG00000026253	ENSG00000196811
ENSMUSG00000026254	ENSG00000135930
ENSMUSG00000026255	ENSG00000115468
ENSMUSG00000026258	ENSG00000182600
ENSMUSG00000026259	ENSG00000066248
ENSMUSG00000026260	ENSG00000130414
ENSMUSG00000026269	ENSG00000142327
ENSMUSG00000026270	ENSG00000142330
ENSMUSG00000026271	ENSG00000178623
ENSMUSG00000026272	ENSG00000172482
ENSMUSG00000026273	ENSG00000122085
ENSMUSG00000026274	ENSG00000115687
ENSMUSG00000026275	ENSG00000115685
ENSMUSG00000026276	ENSG00000168385
ENSMUSG00000026277	ENSG00000115694
ENSMUSG00000026278	ENSG00000176720
ENSMUSG00000026279	ENSG00000176946
ENSMUSG00000026280	ENSG00000168397
ENSMUSG00000026281	ENSG00000168393
ENSMUSG00000026283	ENSG00000168395
ENSMUSG00000026285	ENSG00000188389
ENSMUSG00000026288	ENSG00000168918
ENSMUSG00000026289	ENSG00000085978
ENSMUSG00000026295	ENSG00000072080
ENSMUSG00000026301	ENSG00000132321
ENSMUSG00000026303	ENSG00000115648
ENSMUSG00000026304	ENSG00000124839
ENSMUSG00000026305	ENSG00000124831
ENSMUSG00000026307	ENSG00000132330
ENSMUSG00000026308	ENSG00000168427
ENSMUSG00000026309	ENSG00000132323
ENSMUSG00000026311	ENSG00000065802
ENSMUSG00000026312	ENSG00000081138
ENSMUSG00000026313	ENSG00000068024
ENSMUSG00000026315	ENSG00000166401
ENSMUSG00000026317	ENSG00000182372
ENSMUSG00000026319	ENSG00000134444
ENSMUSG00000026321	ENSG00000141655
ENSMUSG00000026322	ENSG00000164270
ENSMUSG00000026327	ENSG00000206072
ENSMUSG00000026331	ENSG00000205359
ENSMUSG00000026333	ENSG00000145723
ENSMUSG00000026335	ENSG00000145730
ENSMUSG00000026336	ENSG00000205359
ENSMUSG00000026339	ENSG00000125633
ENSMUSG00000026341	ENSG00000115091
ENSMUSG00000026342	ENSG00000115084
ENSMUSG00000026343	ENSG00000183840
ENSMUSG00000026344	ENSG00000150551
ENSMUSG00000026347	ENSG00000152128
ENSMUSG00000026348	ENSG00000153086
ENSMUSG00000026349	ENSG00000082258
ENSMUSG00000026353	ENSG00000144224
ENSMUSG00000026354	ENSG00000115850
ENSMUSG00000026355	ENSG00000076003
ENSMUSG00000026356	ENSG00000115866
ENSMUSG00000026357	ENSG00000150681
ENSMUSG00000026358	ENSG00000090104
ENSMUSG00000026360	ENSG00000116741
ENSMUSG00000026361	ENSG00000134371
ENSMUSG00000026365	ENSG00000000971
ENSMUSG00000026365	ENSG00000116785
ENSMUSG00000026368	ENSG00000143278
ENSMUSG00000026374	ENSG00000211460
ENSMUSG00000026377	ENSG00000155438
ENSMUSG00000026380	ENSG00000115112
ENSMUSG00000026383	ENSG00000115109
ENSMUSG00000026384	ENSG00000088179
ENSMUSG00000026385	ENSG00000155368
ENSMUSG00000026387	ENSG00000080293
ENSMUSG00000026388	ENSG00000186132
ENSMUSG00000026389	ENSG00000115107
ENSMUSG00000026390	ENSG00000019169
ENSMUSG00000026393	ENSG00000151414
ENSMUSG00000026394	ENSG00000151418
ENSMUSG00000026395	ENSG00000081237
ENSMUSG00000026398	ENSG00000116833
ENSMUSG00000026399	ENSG00000196352
ENSMUSG00000026401	ENSG00000196352
ENSMUSG00000026404	ENSG00000118197
ENSMUSG00000026405	ENSG00000123838
ENSMUSG00000026407	ENSG00000081248
ENSMUSG00000026409	ENSG00000123836
ENSMUSG00000026411	ENSG00000116857
ENSMUSG00000026413	ENSG00000081277
ENSMUSG00000026414	ENSG00000118194
ENSMUSG00000026415	ENSG00000162897
ENSMUSG00000026416	ENSG00000162891
ENSMUSG00000026417	ENSG00000162896
ENSMUSG00000026418	ENSG00000159173
ENSMUSG00000026420	ENSG00000162892
ENSMUSG00000026421	ENSG00000159176
ENSMUSG00000026424	ENSG00000170075
ENSMUSG00000026425	ENSG00000171943
ENSMUSG00000026425	ENSG00000196369
ENSMUSG00000026426	ENSG00000143862
ENSMUSG00000026427	ENSG00000143486
ENSMUSG00000026429	ENSG00000077152
ENSMUSG00000026430	ENSG00000266094
ENSMUSG00000026432	ENSG00000198049
ENSMUSG00000026433	ENSG00000117280
ENSMUSG00000026434	ENSG00000069275
ENSMUSG00000026435	ENSG00000158715
ENSMUSG00000026436	ENSG00000158711
ENSMUSG00000026437	ENSG00000117266
ENSMUSG00000026439	ENSG00000117222
ENSMUSG00000026442	ENSG00000163531
ENSMUSG00000026443	ENSG00000170382
ENSMUSG00000026447	ENSG00000133056
ENSMUSG00000026450	ENSG00000133063
ENSMUSG00000026452	ENSG00000143858
ENSMUSG00000026455	ENSG00000117153
ENSMUSG00000026456	ENSG00000159348
ENSMUSG00000026457	ENSG00000159346
ENSMUSG00000026458	ENSG00000143847
ENSMUSG00000026459	ENSG00000122180
ENSMUSG00000026463	ENSG00000058668
ENSMUSG00000026466	ENSG00000143337
ENSMUSG00000026468	ENSG00000121454
ENSMUSG00000026469	ENSG00000143324
ENSMUSG00000026470	ENSG00000135823
ENSMUSG00000026471	ENSG00000153029
ENSMUSG00000026473	ENSG00000135821
ENSMUSG00000026475	ENSG00000143333
ENSMUSG00000026478	ENSG00000135862
ENSMUSG00000026479	ENSG00000058085
ENSMUSG00000026480	ENSG00000116701
ENSMUSG00000026482	ENSG00000143344
ENSMUSG00000026483	ENSG00000135842
ENSMUSG00000026484	ENSG00000121481
ENSMUSG00000026489	ENSG00000163050
ENSMUSG00000026490	ENSG00000143776
ENSMUSG00000026491	ENSG00000153207
ENSMUSG00000026492	ENSG00000162851
ENSMUSG00000026494	ENSG00000162849
ENSMUSG00000026495	ENSG00000203666
ENSMUSG00000026496	ENSG00000143799
ENSMUSG00000026497	ENSG00000185155
ENSMUSG00000026499	ENSG00000182827
ENSMUSG00000026500	ENSG00000203667
ENSMUSG00000026502	ENSG00000121644
ENSMUSG00000026504	ENSG00000054282
ENSMUSG00000026509	ENSG00000162909
ENSMUSG00000026510	ENSG00000143514
ENSMUSG00000026511	ENSG00000143742
ENSMUSG00000026514	ENSG00000143786
ENSMUSG00000026516	ENSG00000143748
ENSMUSG00000026519	ENSG00000196187
ENSMUSG00000026520	ENSG00000143811
ENSMUSG00000026520	ENSG00000255835
ENSMUSG00000026523	ENSG00000162843
ENSMUSG00000026525	ENSG00000054277
ENSMUSG00000026526	ENSG00000091483
ENSMUSG00000026527	ENSG00000182901
ENSMUSG00000026532	ENSG00000163554
ENSMUSG00000026536	ENSG00000163564
ENSMUSG00000026536	ENSG00000163565
ENSMUSG00000026542	ENSG00000132703
ENSMUSG00000026544	ENSG00000158716
ENSMUSG00000026546	ENSG00000213085
ENSMUSG00000026547	ENSG00000158710
ENSMUSG00000026548	ENSG00000162723
ENSMUSG00000026553	ENSG00000122218
ENSMUSG00000026554	ENSG00000132716
ENSMUSG00000026554	ENSG00000258465
ENSMUSG00000026556	ENSG00000162738
ENSMUSG00000026558	ENSG00000143179
ENSMUSG00000026563	ENSG00000152382
ENSMUSG00000026564	ENSG00000198842
ENSMUSG00000026565	ENSG00000143190
ENSMUSG00000026566	ENSG00000197965
ENSMUSG00000026567	ENSG00000143199
ENSMUSG00000026568	ENSG00000143158
ENSMUSG00000026571	ENSG00000143164
ENSMUSG00000026572	ENSG00000143178
ENSMUSG00000026573	ENSG00000143184
ENSMUSG00000026573	ENSG00000143185
ENSMUSG00000026574	ENSG00000143196
ENSMUSG00000026575	ENSG00000143156
ENSMUSG00000026576	ENSG00000143153
ENSMUSG00000026577	ENSG00000117475
ENSMUSG00000026578	ENSG00000117477
ENSMUSG00000026579	ENSG00000198734
ENSMUSG00000026580	ENSG00000174175
ENSMUSG00000026581	ENSG00000188404
ENSMUSG00000026582	ENSG00000007908
ENSMUSG00000026584	ENSG00000000457
ENSMUSG00000026585	ENSG00000075945
ENSMUSG00000026586	ENSG00000116132
ENSMUSG00000026587	ENSG00000152092
ENSMUSG00000026589	ENSG00000120341
ENSMUSG00000026592	ENSG00000240021
ENSMUSG00000026594	ENSG00000116191
ENSMUSG00000026596	ENSG00000143322
ENSMUSG00000026600	ENSG00000057252
ENSMUSG00000026601	ENSG00000162779
ENSMUSG00000026602	ENSG00000116218
ENSMUSG00000026603	ENSG00000143499
ENSMUSG00000026604	ENSG00000152104
ENSMUSG00000026605	ENSG00000117724
ENSMUSG00000026608	ENSG00000136636
ENSMUSG00000026609	ENSG00000042781
ENSMUSG00000026610	ENSG00000196482
ENSMUSG00000026611	ENSG00000162814
ENSMUSG00000026614	ENSG00000196660
ENSMUSG00000026615	ENSG00000136628
ENSMUSG00000026616	ENSG00000117322
ENSMUSG00000026617	ENSG00000162813
ENSMUSG00000026618	ENSG00000067704
ENSMUSG00000026620	ENSG00000116141
ENSMUSG00000026621	ENSG00000186205
ENSMUSG00000026622	ENSG00000117650
ENSMUSG00000026623	ENSG00000123684
ENSMUSG00000026626	ENSG00000066027
ENSMUSG00000026627	ENSG00000065600
ENSMUSG00000026628	ENSG00000162772
ENSMUSG00000026630	ENSG00000123685
ENSMUSG00000026632	ENSG00000203705
ENSMUSG00000026634	ENSG00000174606
ENSMUSG00000026637	ENSG00000082512
ENSMUSG00000026638	ENSG00000117595
ENSMUSG00000026639	ENSG00000196878
ENSMUSG00000026640	ENSG00000076356
ENSMUSG00000026641	ENSG00000158773
ENSMUSG00000026643	ENSG00000152465
ENSMUSG00000026644	ENSG00000176244
ENSMUSG00000026645	ENSG00000152463
ENSMUSG00000026646	ENSG00000152455
ENSMUSG00000026648	ENSG00000152457
ENSMUSG00000026649	ENSG00000188931
ENSMUSG00000026650	ENSG00000197889
ENSMUSG00000026655	ENSG00000065809
ENSMUSG00000026656	ENSG00000072694
ENSMUSG00000026656	ENSG00000143226
ENSMUSG00000026656	ENSG00000244682
ENSMUSG00000026657	ENSG00000151474
ENSMUSG00000026659	ENSG00000081721
ENSMUSG00000026662	ENSG00000086475
ENSMUSG00000026663	ENSG00000118217
ENSMUSG00000026664	ENSG00000107537
ENSMUSG00000026667	ENSG00000152332
ENSMUSG00000026668	ENSG00000165623
ENSMUSG00000026669	ENSG00000065328
ENSMUSG00000026670	ENSG00000117143
ENSMUSG00000026672	ENSG00000123240
ENSMUSG00000026674	ENSG00000162733
ENSMUSG00000026675	ENSG00000132196
ENSMUSG00000026676	ENSG00000151468
ENSMUSG00000026678	ENSG00000143248
ENSMUSG00000026679	ENSG00000151023
ENSMUSG00000026683	ENSG00000143228
ENSMUSG00000026686	ENSG00000162761
ENSMUSG00000026687	ENSG00000143149
ENSMUSG00000026688	ENSG00000143198
ENSMUSG00000026691	ENSG00000007933
ENSMUSG00000026692	ENSG00000076258
ENSMUSG00000026694	ENSG00000010165
ENSMUSG00000026696	ENSG00000117533
ENSMUSG00000026697	ENSG00000034971
ENSMUSG00000026698	ENSG00000135845
ENSMUSG00000026700	ENSG00000117586
ENSMUSG00000026701	ENSG00000117592
ENSMUSG00000026705	ENSG00000076321
ENSMUSG00000026707	ENSG00000241058
ENSMUSG00000026708	ENSG00000120334
ENSMUSG00000026709	ENSG00000117593
ENSMUSG00000026712	ENSG00000260314
ENSMUSG00000026715	ENSG00000117601
ENSMUSG00000026718	ENSG00000136738
ENSMUSG00000026721	ENSG00000152061
ENSMUSG00000026723	ENSG00000107614
ENSMUSG00000026725	ENSG00000120332
ENSMUSG00000026726	ENSG00000107611
ENSMUSG00000026727	ENSG00000148484
ENSMUSG00000026728	ENSG00000026025
ENSMUSG00000026730	ENSG00000165983
ENSMUSG00000026734	ENSG00000179133
ENSMUSG00000026735	ENSG00000168267
ENSMUSG00000026737	ENSG00000150867
ENSMUSG00000026739	ENSG00000168283
ENSMUSG00000026739	ENSG00000269897
ENSMUSG00000026740	ENSG00000136770
ENSMUSG00000026743	ENSG00000078403
ENSMUSG00000026748	ENSG00000120594
ENSMUSG00000026749	ENSG00000119408
ENSMUSG00000026750	ENSG00000136930
ENSMUSG00000026751	ENSG00000136931
ENSMUSG00000026753	ENSG00000119414
ENSMUSG00000026754	ENSG00000136935
ENSMUSG00000026755	ENSG00000136950
ENSMUSG00000026761	ENSG00000115947
ENSMUSG00000026764	ENSG00000168280
ENSMUSG00000026765	ENSG00000150556
ENSMUSG00000026766	ENSG00000168288
ENSMUSG00000026767	ENSG00000148481
ENSMUSG00000026768	ENSG00000077943
ENSMUSG00000026770	ENSG00000134460
ENSMUSG00000026771	ENSG00000144228
ENSMUSG00000026773	ENSG00000170525
ENSMUSG00000026775	ENSG00000136758
ENSMUSG00000026778	ENSG00000065675
ENSMUSG00000026779	ENSG00000120539
ENSMUSG00000026781	ENSG00000107897
ENSMUSG00000026782	ENSG00000138443
ENSMUSG00000026784	ENSG00000148459
ENSMUSG00000026785	ENSG00000160447
ENSMUSG00000026786	ENSG00000077420
ENSMUSG00000026787	ENSG00000136750
ENSMUSG00000026788	ENSG00000169155
ENSMUSG00000026790	ENSG00000136811
ENSMUSG00000026791	ENSG00000136856
ENSMUSG00000026792	ENSG00000148356
ENSMUSG00000026796	ENSG00000136830
ENSMUSG00000026797	ENSG00000136854
ENSMUSG00000026798	ENSG00000167113
ENSMUSG00000026799	ENSG00000160563
ENSMUSG00000026803	ENSG00000125482
ENSMUSG00000026805	ENSG00000125492
ENSMUSG00000026806	ENSG00000125485
ENSMUSG00000026807	ENSG00000165695
ENSMUSG00000026809	ENSG00000165698
ENSMUSG00000026810	ENSG00000136908
ENSMUSG00000026811	ENSG00000160408
ENSMUSG00000026812	ENSG00000165699
ENSMUSG00000026814	ENSG00000106991
ENSMUSG00000026815	ENSG00000165702
ENSMUSG00000026816	ENSG00000148308
ENSMUSG00000026817	ENSG00000106992
ENSMUSG00000026818	ENSG00000170835
ENSMUSG00000026819	ENSG00000148339
ENSMUSG00000026820	ENSG00000148334
ENSMUSG00000026821	ENSG00000160271
ENSMUSG00000026824	ENSG00000162989
ENSMUSG00000026825	ENSG00000106976
ENSMUSG00000026826	ENSG00000153234
ENSMUSG00000026827	ENSG00000115159
ENSMUSG00000026828	ENSG00000136542
ENSMUSG00000026829	ENSG00000148288
ENSMUSG00000026830	ENSG00000136541
ENSMUSG00000026831	ENSG00000160345
ENSMUSG00000026832	ENSG00000115165
ENSMUSG00000026833	ENSG00000130558
ENSMUSG00000026834	ENSG00000123612
ENSMUSG00000026835	ENSG00000085265
ENSMUSG00000026835	ENSG00000160339
ENSMUSG00000026836	ENSG00000115170
ENSMUSG00000026837	ENSG00000130635
ENSMUSG00000026839	ENSG00000007001
ENSMUSG00000026840	ENSG00000050555
ENSMUSG00000026841	ENSG00000130720
ENSMUSG00000026842	ENSG00000097007
ENSMUSG00000026843	ENSG00000107164
ENSMUSG00000026848	ENSG00000136816
ENSMUSG00000026849	ENSG00000136827
ENSMUSG00000026851	ENSG00000136819
ENSMUSG00000026853	ENSG00000095321
ENSMUSG00000026854	ENSG00000136878
ENSMUSG00000026856	ENSG00000167130
ENSMUSG00000026857	ENSG00000148335
ENSMUSG00000026858	ENSG00000148343
ENSMUSG00000026860	ENSG00000148341
ENSMUSG00000026864	ENSG00000044574
ENSMUSG00000026866	ENSG00000115919
ENSMUSG00000026867	ENSG00000165219
ENSMUSG00000026869	ENSG00000095261
ENSMUSG00000026872	ENSG00000169554
ENSMUSG00000026873	ENSG00000119403
ENSMUSG00000026874	ENSG00000106804
ENSMUSG00000026875	ENSG00000056558
ENSMUSG00000026878	ENSG00000119396
ENSMUSG00000026879	ENSG00000148180
ENSMUSG00000026880	ENSG00000148175
ENSMUSG00000026883	ENSG00000136848
ENSMUSG00000026885	ENSG00000175764
ENSMUSG00000026887	ENSG00000148187
ENSMUSG00000026888	ENSG00000115290
ENSMUSG00000026889	ENSG00000119446
ENSMUSG00000026890	ENSG00000106852
ENSMUSG00000026893	ENSG00000115271
ENSMUSG00000026894	ENSG00000185681
ENSMUSG00000026895	ENSG00000119421
ENSMUSG00000026896	ENSG00000115267
ENSMUSG00000026904	ENSG00000144290
ENSMUSG00000026914	ENSG00000115233
ENSMUSG00000026915	ENSG00000165209
ENSMUSG00000026917	ENSG00000196363
ENSMUSG00000026918	ENSG00000169925
ENSMUSG00000026919	ENSG00000122136
ENSMUSG00000026919	ENSG00000171102
ENSMUSG00000026921	ENSG00000172889
ENSMUSG00000026922	ENSG00000169692
ENSMUSG00000026923	ENSG00000148400
ENSMUSG00000026924	ENSG00000148396
ENSMUSG00000026925	ENSG00000148384
ENSMUSG00000026926	ENSG00000165688
ENSMUSG00000026927	ENSG00000165689
ENSMUSG00000026928	ENSG00000187796
ENSMUSG00000026930	ENSG00000160360
ENSMUSG00000026931	ENSG00000165863
ENSMUSG00000026932	ENSG00000148411
ENSMUSG00000026933	ENSG00000130559
ENSMUSG00000026934	ENSG00000107187
ENSMUSG00000026939	ENSG00000244187
ENSMUSG00000026940	ENSG00000213213
ENSMUSG00000026941	ENSG00000177943
ENSMUSG00000026942	ENSG00000127191
ENSMUSG00000026943	ENSG00000184925
ENSMUSG00000026944	ENSG00000107331
ENSMUSG00000026946	ENSG00000123609
ENSMUSG00000026950	ENSG00000183091
ENSMUSG00000026955	ENSG00000186193
ENSMUSG00000026956	ENSG00000197355
ENSMUSG00000026958	ENSG00000176978
ENSMUSG00000026959	ENSG00000176884
ENSMUSG00000026960	ENSG00000177917
ENSMUSG00000026961	ENSG00000184709
ENSMUSG00000026963	ENSG00000185863
ENSMUSG00000026965	ENSG00000176248
ENSMUSG00000026966	ENSG00000176101
ENSMUSG00000026969	ENSG00000188163
ENSMUSG00000026970	ENSG00000153250
ENSMUSG00000026971	ENSG00000115221
ENSMUSG00000026972	ENSG00000197070
ENSMUSG00000026974	ENSG00000165724
ENSMUSG00000026975	ENSG00000148399
ENSMUSG00000026976	ENSG00000125618
ENSMUSG00000026977	ENSG00000136536
ENSMUSG00000026979	ENSG00000125637
ENSMUSG00000026980	ENSG00000054219
ENSMUSG00000026980	ENSG00000248672
ENSMUSG00000026981	ENSG00000136689
ENSMUSG00000026983	ENSG00000136695
ENSMUSG00000026984	ENSG00000136694
ENSMUSG00000026985	ENSG00000136696
ENSMUSG00000026986	ENSG00000150540
ENSMUSG00000026987	ENSG00000123636
ENSMUSG00000026988	ENSG00000196151
ENSMUSG00000026989	ENSG00000163331
ENSMUSG00000026991	ENSG00000144283
ENSMUSG00000026994	ENSG00000115339
ENSMUSG00000026999	ENSG00000163002
ENSMUSG00000027001	ENSG00000162999
ENSMUSG00000027002	ENSG00000061676
ENSMUSG00000027004	ENSG00000162998
ENSMUSG00000027006	ENSG00000077232
ENSMUSG00000027007	ENSG00000138434
ENSMUSG00000027009	ENSG00000115232
ENSMUSG00000027010	ENSG00000115840
ENSMUSG00000027011	ENSG00000170035
ENSMUSG00000027012	ENSG00000077380
ENSMUSG00000027014	ENSG00000163510
ENSMUSG00000027015	ENSG00000071967
ENSMUSG00000027016	ENSG00000144331
ENSMUSG00000027018	ENSG00000128708
ENSMUSG00000027022	ENSG00000163092
ENSMUSG00000027030	ENSG00000198648
ENSMUSG00000027035	ENSG00000172292
ENSMUSG00000027048	ENSG00000073734
ENSMUSG00000027067	ENSG00000149136
ENSMUSG00000027068	ENSG00000073737
ENSMUSG00000027070	ENSG00000081479
ENSMUSG00000027071	ENSG00000109991
ENSMUSG00000027072	ENSG00000156575
ENSMUSG00000027073	ENSG00000186652
ENSMUSG00000027074	ENSG00000134802
ENSMUSG00000027074	ENSG00000254979
ENSMUSG00000027075	ENSG00000149150
ENSMUSG00000027076	ENSG00000134809
ENSMUSG00000027077	ENSG00000214872
ENSMUSG00000027078	ENSG00000156587
ENSMUSG00000027079	ENSG00000172409
ENSMUSG00000027080	ENSG00000156603
ENSMUSG00000027082	ENSG00000003436
